i_sorted,j_sorted,i_original,j_original,d_i,d_j,abs_gap,abs_Aij,coupling_over_gap,relation
0,23,0,23,-40.110302463968672,-39.258241397843463,0.85206106612520927,2.314092793438451e-16,2.7158766964460713e-16,inside_requested_k
0,24,0,24,-40.110302463968672,-39.258241397843463,0.85206106612520927,5.1694759584108851e-16,6.0670251979935403e-16,inside_requested_k
0,25,0,28,-40.110302463968672,-38.938673149076706,1.1716293148919661,6.600622826091751e-16,5.6337125933899865e-16,inside_requested_k
0,26,0,30,-40.110302463968672,-38.938673149076692,1.1716293148919803,4.2674197509029455e-16,3.6422951326515632e-16,inside_requested_k
0,27,0,29,-40.110302463968672,-38.938673149076685,1.1716293148919874,1.2490009027033011e-16,1.0660375998004511e-16,inside_requested_k
0,28,0,25,-40.110302463968672,-38.938673149076664,1.1716293148920087,6.3837823915946501e-16,5.4486366212022064e-16,inside_requested_k
0,29,0,26,-40.110302463968672,-38.938673149076664,1.1716293148920087,1.3162214373974024e-16,1.1234111511785798e-16,inside_requested_k
0,30,0,27,-40.110302463968672,-38.938673149076664,1.1716293148920087,4.2098252670442897e-16,3.5931375338046381e-16,boundary_around_k
0,31,0,32,-40.110302463968672,-38.849887097977636,1.2604153659910367,5.98613712071705e-09,4.7493368315216337e-09,boundary_around_k
0,32,0,31,-40.110302463968672,-38.8498870979776,1.2604153659910722,5.9861370305114292e-09,4.7493367599533302e-09,boundary_around_k
0,33,0,33,-40.110302463968672,-38.554923411530481,1.555379052438191,0.0033462623631896008,0.0021514127748757102,boundary_around_k
0,34,0,34,-40.110302463968672,-38.55492341153046,1.5553790524382123,0.0033462623631895917,0.0021514127748756746,boundary_around_k
0,35,0,35,-40.110302463968672,-38.550977098652851,1.5593253653158214,0.019832278366928826,0.012718499171538873,boundary_around_k
0,36,0,36,-40.110302463968672,-38.550977098652851,1.5593253653158214,0.019832278366928767,0.012718499171538835,boundary_around_k
0,37,0,38,-40.110302463968672,-38.54465348332868,1.5656489806399918,0.015391397289284816,0.0098306820236252826,boundary_around_k
0,38,0,37,-40.110302463968672,-38.544653483328673,1.5656489806399989,0.015391397289284809,0.009830682023625234,boundary_around_k
0,39,0,39,-40.110302463968672,-38.542596000718476,1.5677064632501967,0.012562494741458107,0.0080132952411341857,boundary_around_k
0,40,0,40,-40.110302463968672,-38.54259600071844,1.5677064632502322,0.012562494741458069,0.008013295241133981,outside_candidate
0,41,0,41,-40.110302463968672,-38.535240611890295,1.5750618520783775,0.017142303967665907,0.010883575108523979,outside_candidate
0,42,0,42,-40.110302463968672,-38.535240611890295,1.5750618520783775,0.017142303967665886,0.010883575108523965,outside_candidate
0,43,0,43,-40.110302463968672,-38.534816247467923,1.5754862165007495,0.0057050658481220626,0.0036211461505473276,outside_candidate
0,44,0,44,-40.110302463968672,-38.534816247467916,1.5754862165007566,0.0057050658481220609,0.0036211461505473103,outside_candidate
0,45,0,46,-40.110302463968672,-38.533618953666618,1.576683510302054,0.029968772471882552,0.019007475042433386,outside_candidate
0,46,0,45,-40.110302463968672,-38.53361895366659,1.5766835103020824,0.029968772471882552,0.019007475042433043,outside_candidate
0,47,0,48,-40.110302463968672,-38.524052346743474,1.5862501172251982,0.012932652269393505,0.0081529716713379264,outside_candidate
0,48,0,47,-40.110302463968672,-38.524052346743467,1.5862501172252053,0.012932652269393486,0.0081529716713378778,outside_candidate
0,49,0,50,-40.110302463968672,-38.523632256885385,1.5866702070832872,0.031923807684397912,0.020120001965047405,outside_candidate
